Employee_ID,Gender_Male,Age_At_Hire,Has_Family_Responsibility,Level_Code,Classification_Code,Position_Code,Department_Code,Management_Area_Code,Education_Level_Ordinal,Position_Hierarchy_Level,Is_Gas_Station_Role,Is_Technical_Role,Is_Sales_Role,Is_Driver_Role,Base_Salary,Hourly_Rate,Salary_Growth_Percent,Salary_Level,Is_Fixed_Employee,Is_Variable_Employee,Shift_Code,Schedule_Code,Is_In_Person_Work,Is_Remote_Work,Is_Hybrid_Work,Uses_Timecard,On_Payroll,SS_Deduction,Eligible_For_Incentive,Eligible_For_Subsidy,Subject_To_Evaluation,Tenure_Days,Hire_Month,Hire_Year,Hire_Quarter,Hire_Day_Of_Week,Days_Since_Last_Raise,Non_Termination_Actions_Count,Promotion_Count,Transfer_Count,Salary_Adjustment_Count,Disciplinary_Action_Count,Absence_Count,Total_Absence_Days,Awards_Count,Salary_Deduction_Percentage,Total_Overtime_Hours,Total_Overtime_Earnings,Works_Overtime,Promotion_Rate_Per_Year,Absence_Days_Per_Year,Awards_Rate_Per_Year,Has_Supervisor,Supervisor_ID,Direct_Reports_Count,High_Absence_Flag,Career_Stagnation_Flag,Long_Time_No_Raise_Flag,Below_Market_Salary_Flag,High_Deduction_Flag,Has_Left
EMP10370,1,30,0,6,506,221,4,12,4,2,1,0,0,0,24990.00,131.0848,19.00,1000,1,0,6,2,1,0,0,0,1,0,0,0,1,1160,5,2022,2,4,528,2,0,0,1,0,0,0,0,5.40091995776965,0.00,0.00,0,0,0,0,1,9177,0,0,1,0,0,0,0
EMP10371,1,23,0,6,506,221,4,12,4,2,1,0,0,0,24990.00,131.0848,19.00,1000,1,0,6,2,1,0,0,0,1,0,0,0,1,1160,5,2022,2,4,528,2,0,0,1,0,1,14,0,7.44597979598671,0.00,0.00,0,0,4.40517267962249,0,1,9177,0,0,1,0,0,0,0
EMP10372,1,34,0,6,506,223,4,12,10,2,1,0,0,0,24990.00,131.0848,19.00,1000,1,0,6,2,1,0,0,0,1,0,0,0,1,1160,5,2022,2,4,528,2,0,0,1,0,2,35,0,6.01480228615151,0.00,0.00,0,0,11.0129316990562,0,1,956,0,0,1,0,0,0,0
EMP7224,1,32,1,6,506,158,4,12,4,4,1,0,0,0,30800.00,161.5611,28.33,1004,0,1,5,1,1,0,0,0,1,0,0,0,1,3091,2,2017,1,5,808,1,0,0,1,0,0,0,0,5.19192263078682,0.00,0.00,0,0,0,0,1,8068,0,0,0,0,0,0,0
EMP7225,1,33,1,2,16,999,16,0,0,0,1,0,0,0,14546.35,76.3027,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,174,2,2017,1,4,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,7585,0,0,0,0,0,0,1
EMP7226,1,29,0,2,16,999,16,0,0,0,1,0,0,0,14546.35,76.3027,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,194,2,2017,1,4,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,7585,0,0,0,0,0,0,1
EMP7227,1,27,1,2,16,999,16,0,0,0,1,0,0,0,15447.60,81.0302,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,573,2,2017,1,4,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,7585,0,0,0,0,0,0,1
EMP7228,1,32,1,2,16,999,16,0,0,0,1,0,0,0,15447.60,81.0302,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,817,2,2017,1,4,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,7585,0,0,0,1,0,0,1
EMP7229,1,36,1,6,506,158,4,12,4,4,1,0,0,0,30800.00,161.5611,46.66,1004,0,1,5,1,1,0,0,0,1,0,0,0,1,3085,2,2017,1,4,808,1,0,0,1,0,1,3,0,8.69766395234329,0.00,0.00,0,0,0,0,1,956,0,0,0,0,0,0,0
EMP9447,1,39,1,2,274,69,139,0,0,1,1,0,0,1,24990.00,131.0848,3.47,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1281,12,2020,4,2,143,1,0,0,1,0,0,0,0,12.8820240599109,0.00,0.00,0,0,0,0,1,7997,0,0,0,0,0,0,1
EMP9448,1,35,1,5,448,69,139,24,0,1,1,0,0,1,24990.00,131.0848,3.47,1004,0,1,3,4,1,0,0,0,1,0,0,0,1,1666,12,2020,4,2,528,1,0,0,1,0,0,0,0,18.2975469750355,0.00,0.00,0,0,0,0,1,7997,0,0,0,0,0,0,0
EMP9449,1,40,1,2,19,69,19,0,0,1,1,0,0,1,22000.00,115.4008,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,549,12,2020,4,2,NULL,0,0,0,0,0,0,0,0,12.682757017911,0.00,0.00,0,0,0,0,1,7916,0,0,0,1,0,0,1
EMP9450,1,22,0,6,506,221,4,12,0,2,1,0,0,0,24990.00,131.0848,3.47,1000,1,0,5,1,1,0,0,0,1,0,0,0,1,1658,1,2021,1,3,528,2,0,1,1,0,0,0,0,6.13098681683383,0.00,0.00,0,0,0,0,1,9170,0,0,0,0,0,0,0
EMP9455,1,47,1,5,448,69,139,24,0,1,1,0,0,1,24990.00,131.0848,3.47,1004,0,1,3,4,1,0,0,0,1,0,0,0,1,1658,1,2021,1,3,528,1,0,0,1,0,1,14,0,16.9889340038136,0.00,0.00,0,0,0,0,1,7997,0,0,0,0,0,0,0
EMP11395,1,26,0,5,452,219,52,19,4,2,0,0,1,0,27500.00,144.2509,0.00,1003,1,0,3,4,1,0,0,0,1,0,0,0,0,299,9,2024,3,4,NULL,1,0,0,0,0,0,0,0,6.33618507150908,0.00,0.00,0,0,0,0,1,10090,0,0,0,0,0,0,0
EMP11398,1,23,0,4,456,48,141,17,4,1,0,0,0,0,24990.00,131.0848,0.00,1001,1,0,3,4,1,0,0,0,1,0,0,0,0,299,9,2024,3,4,NULL,1,0,0,0,0,0,0,0,12.7879981260797,0.00,0.00,0,0,0,0,1,8734,0,0,0,0,0,0,0
EMP11399,1,24,1,5,437,64,154,32,4,1,1,0,0,0,24990.00,131.0848,0.00,1000,0,1,3,4,1,0,0,0,1,0,0,0,0,299,9,2024,3,4,NULL,1,0,0,0,0,0,0,0,5.83473316200359,0.00,0.00,0,0,0,0,1,8785,0,0,0,0,0,0,0
EMP11400,1,22,0,5,437,64,154,32,4,1,1,0,0,0,24990.00,131.0848,0.00,1000,0,1,3,4,1,0,0,0,1,0,0,0,0,299,9,2024,3,4,NULL,1,0,0,0,0,0,0,0,4.45467311593072,0.00,0.00,0,0,0,0,1,8785,0,0,0,0,0,0,0
EMP11401,1,31,0,6,506,158,4,12,4,4,1,0,0,0,30800.00,161.5611,0.00,1004,0,1,6,2,1,0,0,0,1,0,0,0,0,299,9,2024,3,4,NULL,1,0,0,0,0,0,0,0,8.60579054117774,0.00,0.00,0,0,0,0,1,956,0,0,0,0,0,0,0
EMP10655,0,57,0,5,494,75,111,25,4,0,0,0,0,0,24990.00,131.0848,19.00,1000,1,0,3,4,1,0,0,0,1,0,0,0,1,1034,9,2022,3,4,528,2,0,0,1,0,0,0,0,12.3304246771769,0.00,0.00,0,0,0,0,1,10861,0,0,1,0,0,0,0
EMP10656,1,41,1,5,509,63,150,14,4,1,1,1,0,0,27000.00,141.6282,28.57,1002,0,1,3,4,1,0,0,0,1,0,0,0,1,1034,9,2022,3,4,522,4,0,2,1,0,2,19,0,10.3681520253603,0.00,0.00,0,0,6.70696493598731,0,1,8187,0,0,1,0,0,0,0
EMP10658,1,31,1,6,506,158,4,12,4,4,1,0,0,0,30800.00,161.5611,10.00,1004,0,1,6,2,1,0,0,0,1,0,0,0,1,1034,9,2022,3,4,NULL,2,0,1,0,0,0,0,0,6.23591726730714,0.00,0.00,0,0,0,0,1,10666,0,0,0,0,0,0,0
EMP10659,1,38,1,6,506,221,4,12,4,2,1,0,0,0,24990.00,131.0848,19.00,1000,1,0,6,2,1,0,0,0,1,0,0,0,1,1034,9,2022,3,4,528,2,0,0,1,0,0,0,0,6.75804498417581,0.00,0.00,0,0,0,0,1,956,0,0,1,0,0,0,0
EMP10660,1,37,1,4,449,279,142,27,10,5,0,0,0,0,84000.00,440.6211,5.00,1,1,0,1,1,1,0,0,0,1,0,0,0,1,788,9,2022,3,2,NULL,2,0,0,0,0,0,0,0,19.6656893330896,0.00,0.00,0,0,0,0,1,2094,0,0,0,1,0,0,1
EMP11505,1,27,0,4,219,27,164,39,4,2,0,0,1,0,32500.00,170.4784,0.00,1022,0,1,2,4,1,0,0,0,0,0,0,0,0,167,2,2025,1,3,NULL,1,0,0,0,0,0,0,0,9.4565097379242,0.00,0.00,0,0,0,0,1,10994,0,0,0,0,0,0,0
EMP11514,1,39,1,4,211,28,159,44,9,2,0,0,1,0,24990.00,131.0848,0.00,1025,0,1,6,4,0,0,0,0,0,0,0,0,0,154,2,2025,1,2,NULL,1,0,0,0,0,0,0,0,5.91002715101582,0.00,0.00,0,0,0,0,1,10781,0,0,0,0,0,0,0
EMP11515,1,25,0,4,208,28,159,36,7,2,0,0,1,0,24990.00,131.0848,0.00,1025,0,1,1,4,0,0,0,0,0,0,0,0,0,151,2,2025,1,5,NULL,1,0,0,0,0,0,0,0,5.9100488232826,0.00,0.00,0,0,0,0,1,8211,0,0,0,0,0,0,0
EMP11517,1,28,0,4,208,28,159,36,7,2,0,0,1,0,24990.00,131.0848,0.00,1025,0,1,1,4,0,0,0,0,0,0,0,0,0,140,3,2025,1,2,NULL,1,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,8211,0,0,0,0,0,0,0
EMP11522,0,33,1,4,232,104,20,34,7,5,0,0,0,0,0.00,0.00,0.00,1,1,0,3,4,1,0,0,0,0,0,0,0,0,130,3,2025,1,5,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,7671,0,0,0,0,0,0,0
EMP11523,0,23,0,4,210,28,159,0,7,2,0,0,1,0,0.00,0.00,0.00,1025,1,0,4,3,1,0,0,0,0,0,0,0,0,130,3,2025,1,5,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,10899,0,0,0,0,0,0,0
EMP11524,0,29,0,4,211,28,159,44,6,2,0,0,1,0,0.00,0.00,0.00,1025,0,1,4,4,1,0,0,0,0,0,0,0,0,130,3,2025,1,5,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,10697,0,0,0,0,0,0,0
EMP9334,1,29,0,2,32,154,32,0,0,4,0,0,0,0,36000.00,188.8376,0.00,1,1,0,1,1,1,0,0,0,0,0,0,0,0,2087,5,2018,2,3,NULL,0,0,0,0,0,0,0,0,6.7686001188052,0.00,0.00,0,0,0,0,1,102,0,0,0,1,0,0,1
EMP10553,1,30,0,5,459,205,138,0,10,0,0,0,0,0,35000.00,183.5921,16.66,1002,1,0,2,4,1,0,0,0,1,0,0,0,1,1099,7,2022,3,2,166,2,0,0,1,0,0,0,0,7.03064136682036,0.00,0.00,0,0,0,0,1,10433,0,0,1,0,0,0,0
EMP10554,1,34,0,6,506,221,4,12,10,2,1,0,0,0,24990.00,131.0848,19.00,1000,1,0,6,2,1,0,0,0,1,0,0,0,1,1104,7,2022,3,4,528,2,0,0,1,0,0,0,0,6.21867285314142,0.00,0.00,0,0,0,0,1,9170,0,0,1,0,0,0,0
EMP10555,1,39,0,2,220,221,43,0,10,2,1,0,0,0,24990.00,131.0848,19.00,1,1,0,2,1,1,0,0,0,1,0,0,0,0,673,7,2022,3,4,97,3,0,0,1,0,0,0,0,8.77409201486966,0.00,0.00,0,0,0,0,1,7585,0,0,0,0,0,0,1
EMP10556,1,28,0,6,506,221,4,12,4,2,1,0,0,0,24990.00,131.0848,19.00,1000,1,0,6,2,1,0,0,0,1,0,0,0,1,1104,7,2022,3,4,528,2,0,0,1,0,2,15,0,6.12141070021537,0.00,0.00,0,0,4.9592400063875,0,1,956,0,0,1,0,0,0,0
EMP10561,1,42,0,5,521,72,139,24,4,1,1,0,0,1,24990.00,131.0848,16.23,1004,0,1,3,4,1,0,0,0,1,0,1,0,1,1098,7,2022,3,3,528,2,0,0,1,0,0,0,0,10.6637009728204,0.00,0.00,0,0,0,0,1,264,0,0,1,0,0,0,0
EMP10562,1,31,1,5,437,73,154,32,4,1,1,0,0,1,24990.00,131.0848,16.23,1003,0,1,3,4,1,0,0,0,1,0,1,0,1,1098,7,2022,3,3,528,2,0,0,1,0,0,0,0,8.43749501481545,0.00,0.00,0,0,0,0,1,8785,0,0,1,0,0,0,0
EMP41,1,30,0,6,506,148,4,12,0,4,1,0,0,0,27500.00,144.2509,10.00,1005,0,1,4,3,1,0,0,0,1,0,0,0,1,10308,5,1997,2,5,NULL,0,0,0,0,0,0,0,0,15.3343602446591,0.00,0.00,0,0,0,0,1,956,0,0,0,0,0,0,0
EMP43,1,10,0,2,16,999,16,0,0,0,1,0,0,0,12872.88,67.5245,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,5781,9,2000,3,7,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,7585,0,0,0,1,0,0,1
EMP60,1,7,0,2,16,999,16,0,0,0,1,0,0,0,12872.88,67.5245,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,7082,5,1997,2,5,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,7585,0,0,0,1,0,0,1
EMP70,1,8,0,2,16,999,16,0,0,0,1,0,0,0,18000.00,94.4188,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,7641,10,1998,4,5,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,7585,0,0,0,1,0,0,1
EMP102,1,33,0,1,420,216,89,0,9,9,0,0,0,0,2000000.00,10490.9778,0.00,1,1,0,1,4,1,0,0,0,1,0,0,0,1,10308,5,1997,2,5,NULL,0,0,0,0,0,0,0,0,27.8605471843315,0.00,0.00,0,0,0,0,1,666,10,0,0,0,0,0,0
EMP105,1,46,0,2,9,999,9,0,0,0,0,1,0,0,150000.00,786.8233,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,8460,2,1997,1,7,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,9176,0,0,0,1,0,0,1
EMP114,1,21,0,2,31,999,31,0,0,0,0,0,0,0,31500.00,165.2329,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,8825,2,1997,1,7,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,6863,0,0,0,1,0,0,1
EMP119,1,8,0,2,16,999,16,0,0,0,1,0,0,0,18000.00,94.4188,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,7718,5,1998,2,6,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,7585,0,0,0,1,0,0,1
EMP138,0,43,0,2,522,1142,170,0,7,9,0,0,0,0,840000.00,4406.2107,5.00,1012,1,0,1,4,1,0,0,0,1,0,0,0,1,10308,5,1997,2,5,NULL,0,0,0,0,0,0,0,0,23.7248930114248,0.00,0.00,0,0,0,0,1,102,3,0,0,0,0,0,0
EMP139,0,28,0,2,14,80,0,0,9,0,0,0,0,0,371250.00,1947.3877,8.79,1,1,0,1,1,1,0,0,0,1,0,0,0,1,10031,5,1997,2,5,35,1,0,0,1,0,0,0,0,25.2928180821186,0.00,0.00,0,0,0,0,1,138,0,0,0,0,0,0,1
EMP153,0,28,1,2,31,999,31,0,0,0,0,0,0,0,68000.00,356.6932,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,6808,10,2001,4,2,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,6863,0,0,0,1,0,0,1
EMP213,1,1,1,2,3,999,34,0,0,0,0,0,0,0,17610.00,92.3731,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,8554,11,1997,4,4,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,5408,0,0,0,1,0,0,1
EMP251,1,8,0,2,16,999,16,0,0,0,1,0,0,0,15447.60,81.0302,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,7396,2,1998,1,7,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,7585,0,0,0,1,0,0,1
EMP261,1,27,0,5,509,1057,150,14,0,5,0,1,0,0,65000.00,340.9568,96.52,1006,0,1,3,4,1,0,0,0,1,0,0,0,1,9786,10,1998,4,2,522,2,0,2,0,0,0,0,0,14.8032812732924,0.00,0.00,0,0,0,0,1,8187,0,0,0,0,0,0,0
EMP264,0,29,0,5,521,93,139,24,0,5,1,0,0,0,78750.00,413.0822,5.00,1007,1,0,3,4,1,0,0,0,1,0,0,0,1,9897,6,1998,2,3,NULL,0,0,0,0,0,4,34,0,15.9367977733352,0.00,0.00,0,0,0,0,1,10759,87,0,0,0,0,0,0
EMP275,1,8,0,2,31,999,31,0,0,0,0,0,0,0,18900.00,99.1397,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,6715,11,1998,4,3,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,6863,0,0,0,1,0,0,1
EMP325,1,30,0,6,506,148,4,12,0,4,1,0,0,0,27500.00,144.2509,10.00,1005,0,1,4,3,1,0,0,0,1,0,0,0,1,7091,2,2006,1,2,NULL,1,0,1,0,0,0,0,0,12.6276146645128,0.00,0.00,0,0,0,0,1,9170,0,0,0,0,0,0,0
EMP331,0,39,0,2,3,999,34,0,0,0,0,0,0,0,54600.00,286.4037,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,5689,8,1999,3,3,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,5408,0,0,0,1,0,0,1
EMP341,0,21,0,2,0,999,0,0,0,0,0,0,0,0,37800.00,198.2795,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,5739,9,1999,3,3,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,102,0,0,0,1,0,0,1
EMP383,1,18,0,5,509,257,150,14,4,2,1,1,0,0,35000.00,183.5921,5.82,1003,0,1,3,4,1,0,0,0,1,0,0,0,1,8998,12,2000,4,6,522,2,0,2,0,0,3,20.5,0,8.73993682551436,0.00,0.00,0,0,0,0,1,8187,0,0,0,0,0,0,0
EMP387,1,18,0,2,16,999,16,0,0,0,1,0,0,0,18000.00,94.4188,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,4378,7,2008,3,3,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,7585,0,0,0,1,0,0,1
EMP394,1,38,0,1,420,67,89,0,0,1,0,0,0,1,35000.00,183.5921,27.27,1002,1,0,1,4,1,0,0,0,1,0,0,0,1,8090,5,2003,2,4,406,1,0,0,1,0,0,0,0,10.279419750851,0.00,0.00,0,0,0,0,1,102,0,0,0,0,0,0,0
EMP399,1,10,0,2,16,999,16,0,0,0,1,0,0,0,12872.88,67.5245,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,5731,8,2000,3,6,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,7585,0,0,0,1,0,0,1
EMP403,1,24,0,5,509,1058,150,14,0,2,1,1,0,0,42000.00,220.3105,36.36,1004,0,1,3,4,1,0,0,0,1,0,0,0,1,8942,1,2001,1,6,522,2,0,2,0,0,0,0,0,12.0049785691369,0.00,0.00,0,0,0,0,1,8187,0,0,0,0,0,0,0
EMP407,1,10,0,2,19,999,19,0,0,0,0,1,1,0,20025.00,105.0409,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,5982,10,2000,4,1,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,1563,0,0,0,1,0,0,1
EMP421,1,11,0,2,16,999,16,0,0,0,1,0,0,0,17610.00,92.3731,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,6820,3,2001,1,2,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,7585,0,0,0,1,0,0,1
EMP424,0,27,0,4,499,162,144,1,7,7,0,0,0,0,100000.00,524.5489,88.21,1009,1,0,1,4,1,0,0,0,1,0,0,0,1,8889,3,2001,1,3,496,1,0,0,1,0,0,0,0,23.3321556165949,0.00,0.00,0,0,0,0,1,666,0,0,0,0,0,0,0
EMP436,0,29,0,2,3,6,34,0,0,3,0,0,0,0,35000.00,183.5921,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,7598,6,2001,2,3,NULL,0,0,0,0,0,0,0,0,3.93302124054329,0.00,0.00,0,0,0,0,1,10000,0,0,0,1,0,0,1
EMP441,0,11,0,2,3,999,34,0,0,0,0,0,0,0,38000.00,199.3286,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,6036,7,2001,3,3,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,5408,0,0,0,1,0,0,1
EMP447,0,22,1,4,432,170,38,7,0,7,0,0,0,0,110000.00,577.0038,22.22,1009,1,0,1,4,1,0,0,0,1,0,0,0,1,7553,11,2004,4,2,NULL,0,0,0,0,0,4,5.875,1,18.251627328885,0.00,0.00,0,0,0,0,1,6447,3,0,0,0,0,0,0
EMP448,1,25,0,4,434,184,38,29,0,7,0,0,1,0,150750.00,790.7574,0.00,1009,0,1,3,4,1,0,0,0,1,0,0,0,1,8679,10,2001,4,3,NULL,0,0,0,0,0,0,0,0,23.7581401422054,0.00,0.00,0,0,0,0,1,6447,5,0,0,0,0,0,0
EMP462,1,29,0,6,506,221,4,12,0,2,1,0,0,0,24990.00,131.0848,3.47,1000,1,0,4,3,1,0,0,0,1,0,0,0,1,8587,1,2002,1,4,528,1,0,0,1,0,0,0,1,5.05822073773296,0.00,0.00,0,0,0,0,1,956,0,0,0,0,0,0,0
EMP464,1,24,1,5,479,99,40,5,0,5,0,0,0,0,140000.00,734.3684,40.00,1007,1,0,1,4,1,0,0,0,1,0,0,0,1,8571,2,2002,1,6,NULL,0,0,0,0,0,0,0,0,19.9312027713765,0.00,0.00,0,0,0,0,1,10429,5,0,0,0,0,0,0
EMP504,1,11,0,2,16,999,16,0,0,0,1,0,0,0,15447.60,81.0302,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,6197,7,2001,3,2,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,7585,0,0,0,1,0,0,1
EMP505,1,11,0,2,16,999,16,0,0,0,1,0,0,0,12872.88,67.5245,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,5504,7,2001,3,2,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,7585,0,0,0,1,0,0,1
EMP511,1,13,0,2,16,999,16,0,0,0,1,0,0,0,17610.00,92.3731,0.00,1,1,0,1,1,1,0,0,0,1,0,0,0,0,6364,1,2003,1,5,NULL,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,7585,0,0,0,1,0,0,1
EMP550,1,28,1,4,470,74,40,10,4,0,0,0,0,0,24990.00,131.0848,3.47,1001,0,1,1,4,1,0,0,0,1,0,0,0,1,8218,1,2003,1,2,528,1,0,0,1,0,1,17,0,14.2616152699646,0.00,0.00,0,0,0,0,1,10418,0,0,0,0,0,0,0
